id,region_id,nivel_id,tipo,numero,clave,estatus,nomenclatura_id,sede,direccion,cp,ciudad,estado,fecha_inicio,fecha_fin
238,5,27,ACTIVO,62,D-I-62,ACTIVA,1,XALAPA,BENITO JUÁREZ 13,91300,BANDERILLA,VERACRUZ,24/03/2023,25/03/2026
239,5,19,ACTIVO,14,D-III-14,ACTIVA,3,XALAPA,PRIVADA 18 DE JULIO 2,91140,XALAPA,VERACRUZ,24/03/2023,24/03/2026
240,5,10,ACTIVO,2,D-II-02,ACTIVA,2,XALAPA,ZONA UNIVERSITARIA,91000,XALAPA,VERACRUZ,24/03/2023,24/03/2026
241,5,3,ACTIVO,9,D-III-09,ACTIVA,3,XALAPA,XANATH #8 COLONIA ELECTRICISTAS,91060,XALAPA,VERACRUZ,24/03/2023,24/03/2026
242,5,8,ACTIVO,56,D-II-56,ACTIVA,2,XALAPA,CIRCUITO GONZALO AGUIRRE BELTRÁN S/N,91000,XALAPA,VERACRUZ,24/03/2023,24/03/2026
243,5,35,ACTIVO,47,D-I-47,ACTIVA,1,LAS VIGAS DE RAMIREZ,CALLE 2 DE ABRIL S/N COLONIA CENTRO,91330,LAS VIGAS DE RAMIREZ,VERACRUZ,24/03/2023,24/03/2026
245,9,19,ACTIVO,7,D-III-07,ACTIVA,3,ALVARADO,PARQUE 15 DE OCTUBRE S/N,95270,ALVARADO,VERACRUZ,24/03/2023,24/03/2026
253,6,39,ACTIVO,5,D-II-05,ACTIVA,2,VERACRUZ,CALLE RIO GRIJALVA #212B LAS VEGAS II,94297,BOCA DEL RIO,VERACRUZ,26/04/2023,26/04/2026
273,9,39,ACTIVO,30,D-II-30,ACTIVA,2,COSAMALOAPAN,PRIMERA PRIVADA 16 DE SEPTIEMBRE N. 114,95420,COSAMALOAPAN,VERACRUZ,24/03/2023,24/03/2026
274,1,29,JUBILADO,23,D-IV-23,ACTIVA,4,PANUCO,CALLE AYUNTAMIENTO,93998,PANUCO,VERACRUZ,31/05/2023,31/05/2026
276,11,34,ACTIVO,82,D-I-82,ACTIVA,1,MINATITLÁN,CONOCIDA,0,MINATITLÁN,VERACRUZ,08/05/2024,08/05/2024
277,7,36,CT,2,C.T.02,ACTIVA,5,HUATUSCO,EMPTY,0,HUATUSCO,VERACRUZ,13/05/2024,13/05/2027
280,1,39,ACTIVO,18,D-II-18,ACTIVA,2,CHICONTEPEC,EMPTY,0,CHICONTEPEC,VERACRUZ,13/05/2024,13/05/2027
281,3,35,ACTIVO,4,D-I-04,ACTIVA,1,ALAMO,EMPTY,0,ALAMO,VERACRUZ,13/05/2024,13/05/2027
282,10,19,ACTIVO,19,D-III-19,ACTIVA,3,SAN ANDRES TUXTLA,EMPTY,0,SAN ANDRES TUXTLA,VERACRUZ,13/05/2024,13/05/2027
284,6,41,CT,17,C.T.17,ACTIVA,5,VERACRUZ,EMPTY,0,VERACRUZ,VERACRUZ,14/05/2024,14/05/2024
285,6,40,ACTIVO,40,D-II-40,ACTIVA,2,VERACRUZ,EMPTY,0,VERACRUZ,VERACRUZ,14/05/2024,14/05/2024
286,6,36,ACTIVO,49,D-II-49,ACTIVA,2,VERACRUZ,ESCRITORES MEXICANOS S/N ESQUINA CERVANTES SAAVEDRA,91714,VERACRUZ,VERACRUZ,24/03/2023,24/03/2026
287,1,29,JUBILADO,11,D-IV-11,ACTIVA,4,TEMPOAL,EMPTY,0,TEMPOAL,VERACRUZ,14/05/2024,14/05/2024
288,1,29,JUBILADO,22,D-IV-22,ACTIVA,4,CHICONTEPEC,EMPTY,0,CHICONTEPEC,VERACRUZ,14/05/2024,14/05/2024
289,1,29,JUBILADO,35,D-IV-35,ACTIVA,4,PUEBLO VIEJO,PUEBLO VIEJO,92123,TANTOYUCA,VERACRUZ,23/04/2023,23/04/2026
290,1,29,JUBILADO,37,D-IV-37,ACTIVA,4,PLATON SANCHEZ,EMPTY,0,PLATON SANCHEZ,VERACRUZ,14/05/2024,14/05/2024
291,3,37,ACTIVO,7,D-II-07,ACTIVA,2,POZA RICA,EMPTY,0,POZA RICA,VERACRUZ,15/05/2024,15/05/2024
292,3,39,ACTIVO,33,D-II-33,ACTIVA,2,POZA RICA,EMPTY,0,POZA RICA,VERACRUZ,15/05/2024,15/05/2024
293,3,29,JUBILADO,14,D-IV-14,ACTIVA,4,ALAMO,EMPTY,0,ALAMO,VERACRUZ,15/05/2024,15/05/2024
294,3,29,JUBILADO,24,D-IV-24,ACTIVA,4,GUTIERREZ ZAMORA,EMPTY,0,GUTIERREZ ZAMORA,VERACRUZ,15/05/2024,15/05/2024
295,5,23,CT,18,C.T.18,ACTIVA,5,XALAPA,JUAN ESCUTIA 2,91000,XALAPA,VERACRUZ,15/05/2024,15/05/2024
296,6,6,CT,6,C.T.06,ACTIVA,5,CARDEL,CALLE JAZMIN ENTRE ROBLE Y CAOBA COL. VICENTE LOPEZ,91680,CARDEL,VERACRUZ,16/02/2023,26/02/2025
297,6,16,CT,11,C.T.11,ACTIVA,5,VERACRUZ,ESTEBAN MORALES COL. CENTRO,91700,VERACRUZ,VERACRUZ,15/05/2024,15/05/2024
298,6,11,CT,15,C.T.15,ACTIVA,5,VERACRUZ,"C. ESTEBAN MORALES NO. 490 CENTRO, VER.",91709,VERACRUZ,VERACRUZ,15/04/2023,15/04/2026
299,6,26,CT,22,C.T.22,ACTIVA,5,VERACRUZ,EMPTY,0,VERACRUZ,VERACRUZ,15/05/2024,15/05/2024
300,6,28,ACTIVO,6,D-II-06,ACTIVA,2,VERACRUZ,EMPTY,0,VERACRUZ,VERACRUZ,15/05/2024,15/05/2024
301,6,19,ACTIVO,6,D-III-06,ACTIVA,3,VERACRUZ,EMPTY,0,VERACRUZ,VERACRUZ,15/05/2024,15/05/2024
302,6,29,JUBILADO,1,D-IV-01,ACTIVA,4,VERACRUZ,EMPTY,0,VERACRUZ,VERACRUZ,15/05/2024,15/05/2024
303,6,29,JUBILADO,27,D-IV-27,ACTIVA,4,BOCA DEL RIO,EMPTY,0,BOCA DEL RIO,VERACRUZ,15/05/2024,08/05/2024
304,6,29,JUBILADO,30,D-IV-30,ACTIVA,4,PIEDRAS NEGRAS,EMPTY,0,PIEDRAS NEGRAS,VERACRUZ,15/05/2024,15/05/2024
305,8,35,ACTIVO,37,D-I-27,ACTIVA,1,IXTACZOQUITLAN,"NORTE 2, EDIFICIO PARROQUIA 2° PISO DEPT. 4, COL. CENTRO",94300,ORIZABA,VERACRUZ,09/02/2023,09/02/2024
306,8,37,ACTIVO,36,D-II-36,ACTIVA,2,ORIZABA,EMPTY,0,ORIZABA,VERACRUZ,12/07/2019,12/07/2022
307,8,19,ACTIVO,10,D-III-10,ACTIVA,3,CIUDAD MENDOZA,EMPTY,0,CIUDAD MENDOZA,VERACRUZ,09/02/2023,09/02/2026
308,8,29,JUBILADO,4,D-IV-04,ACTIVA,4,CIUDAD MENDOZA,EMPTY,0,CIUDAD MENDOZA,VERACRUZ,10/02/2023,10/02/2026
309,9,35,ACTIVO,70,D-I-70,ACTIVA,1,TRES VALLES,"ESC. PRIM. ""18 DE MARZO"" CALLE:  BENITO JUÁREZ #102",95300,TRES VALLES,VERACRUZ,24/03/2023,24/03/2026
310,9,37,ACTIVO,8,D-II-08,ACTIVA,2,COSAMALOAPAN,EMPTY,0,COSAMALOAPAN,VERACRUZ,08/02/2023,08/02/2026
311,9,19,ACTIVO,20,D-III-20,ACTIVA,3,COSAMALOAPAN,AV MANUEL CARPIO S/N,95400,COSAMALOAPAN DE CARPIO,VERACRUZ,23/03/2023,23/03/2026
312,9,29,JUBILADO,29,D-IV-29,ACTIVA,4,TIERRA BLANCA,EMPTY,0,TIERRA BLANCA,VERACRUZ,15/05/2024,15/05/2024
313,9,29,JUBILADO,34,D-IV-34,ACTIVA,4,TLACOTALPAN,AV 5 DE MAYO 89,95460,TLACOTALPAN,VERACRUZ,09/03/2023,09/03/2026
314,11,35,ACTIVO,13,D-I-13,ACTIVA,1,COATZACOALCOS,"ZARAGOZA 404 ALTOS, COL. CENTRO",96400,COATZACOALCOS,VERACRUZ,29/03/2023,29/03/2026
315,11,36,ACTIVO,11,D-II-11,ACTIVA,2,COATZACOALCOS,EMPTY,0,COATZACOALCOS,VERACRUZ,03/06/2022,03/06/2025
316,11,40,ACTIVO,39,D-II-39,ACTIVA,2,ACAYUCAN,EMPTY,0,ACAYUCAN,VERACRUZ,15/05/2024,15/05/2024
317,11,29,JUBILADO,20,D-IV-20,ACTIVA,4,ACAYUCAN,EMPTY,0,ACAYUCAN,VERACRUZ,14/02/2023,14/02/2026
318,6,35,ACTIVO,50,D-I-50,ACTIVA,1,SOLEDAD DE DOBLADO,"PROL. FRANCISCO JAVIER MINA, NO. 470. COL. LOS PINOS.",94244,SOLEDAD DE DOBLADO,VERACRUZ,28/03/2023,28/03/2026
332,6,35,ACTIVO,73,D-I-73,ACTIVA,1,PASO DE OVEJAS,PASO DE OVEJAS,91675,VERACRUZ,VERACRUZ,24/03/2023,23/03/2026
333,5,39,CT,4,C.T.04,ACTIVA,5,JACARANDAS,"CALLE 3, NO. 120. FRACC. CINCUENTENARIO",91639,"JACARANDAS, MPIO. E. ZAPATA",VERACRUZ,04/11/2024,04/11/2028
334,7,39,CT,12,C.T.12,ACTIVA,5,HUATUSCO,HUATUSCO,94100,HUATUSCO,VERACRUZ,28/10/2024,28/12/2027
335,7,39,CT,16,C.T.16,ACTIVA,5,CóRDOBA,AV. 23 CALLE 37 Y 39 # 3705 COLONIA LóPEZ ARIAS,94670,CóRDOBA,VERACRUZ,29/10/2024,29/10/2027
336,6,35,ACTIVO,95,D-I-95,ACTIVA,1,MANLIO FABIO ALTAMIRANO,MANLIO FABIO ALTAMIRANO,94250,VERACRUZ,VERACRUZ,25/02/2025,25/02/2028
